name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
waikiki,2024-01-01,79.7,67.8,74.2,79.7,67.8,74.2,65.8,75.7,0.01,100,8.33,rain,0,0,30.9,15.2,52.4,1019.8,52.1,9.2,120.4,10.2,6,10,2024-01-01T07:09:02,2024-01-01T18:00:50,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-01-02,81.6,73.2,76.6,83.2,73.2,77.1,64.9,67.6,0,0,0,rain,0,0,31.5,16.8,75.7,1020.9,40.6,9.9,190.2,16.4,7,10,2024-01-02T07:09:21,2024-01-02T18:01:28,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-01-03,82,70.9,76,83.8,70.9,76.5,64.9,68.9,0,0,0,rain,0,0,28.2,14.3,86.5,1020,48.7,9.6,155.2,13.5,8,10,2024-01-03T07:09:38,2024-01-03T18:02:07,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-01-04,80,69.2,75,82.2,69.2,75,66.9,76.6,0.003,100,4.17,rain,0,0,26.9,11.5,7,1016.7,49.1,9.6,154.6,13.3,7,10,2024-01-04T07:09:54,2024-01-04T18:02:45,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-01-05,81.1,68.9,75.2,84.4,68.9,75.8,67.8,78.4,0,0,0,rain,0,0,27.7,10.1,70.4,1017.4,38.7,9.5,146.8,12.6,7,10,2024-01-05T07:10:09,2024-01-05T18:03:25,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-01-06,80.8,68.1,74.5,84.1,68.1,74.9,67.7,79.9,0.018,100,8.33,rain,0,0,23,11.4,104.5,1017.4,46.6,9.9,136,11.7,7,10,2024-01-06T07:10:23,2024-01-06T18:04:04,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-01-07,80.9,67.6,75,83.8,67.6,75.5,68.3,80.6,0.003,100,4.17,rain,0,0,21.3,11.3,162.5,1014.8,29.2,9.9,201.7,17.3,8,10,2024-01-07T07:10:36,2024-01-07T18:04:44,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-01-08,77,71.2,75.1,77,71.2,75.1,70.4,85.4,1.704,100,87.5,rain,0,0,34.5,16.4,188.3,1009.2,91.6,8.4,15.7,1.3,1,10,2024-01-08T07:10:47,2024-01-08T18:05:24,0.92,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-01-09,80.4,72,75.7,83,72,75.8,66.8,74.5,0.286,100,25,rain,0,0,37.4,17.3,244.8,1008.8,69.7,9.4,158,13.6,8,10,2024-01-09T07:10:57,2024-01-09T18:06:04,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-01-10,79.6,65.6,73.2,79.6,65.6,73.2,62.8,70.5,0,0,0,rain,0,0,23,13.7,268.4,1010.9,38.7,9.5,169.8,14.7,7,10,2024-01-10T07:11:06,2024-01-10T18:06:45,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-01-11,80.3,64,69.8,80.9,64,69.8,60.4,74.1,0.065,100,37.5,rain,0,0,33.4,21.4,289.9,1011.1,60.8,9.3,145.5,12.6,7,10,2024-01-11T07:11:13,2024-01-11T18:07:26,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
